# From GOs_lib_files/regulons_in_gos_v5.pl on Mon Jun 15 17:12:05 2020
# Input = GUs_Regulon10.6.3_groups_complex_regulons/Regulon10.6.3_network_complex_regulons.txt
# GOs_lib_files/gene_gos.txt
# GOs_lib_files/go_uniq_levels_extended.txt
Group name	GO ID	GO level	Genes in group	Genes in GO	Percentage	GO name
Cbl_CysB_FNR_IHF	GO:0009970	6	5	1	0.20	cellular response to sulfate starvation
Cbl_CysB_FNR_IHF	GO:0006974	5	5	1	0.20	cellular response to DNA damage stimulus
Cbl_CysB_FNR_IHF	GO:0009408	4	5	1	0.20	response to heat
Cbl_CysB_FNR_IHF	GO:0042594	4	5	1	0.20	response to starvation
CdaR	GO:0008152	2	5	1	0.20	metabolic process
CdaR	GO:0044237	3	5	1	0.20	cellular metabolic process
CdaR	GO:0044248	4	5	1	0.20	cellular catabolic process
CdaR	GO:0009056	3	5	1	0.20	catabolic process
CdaR	GO:0044238	3	5	1	0.20	primary metabolic process
CdaR	GO:0006520	4	5	1	0.20	cellular amino acid metabolic process
CdaR	GO:0009063	5	5	1	0.20	cellular amino acid catabolic process
CdaR_FNR_Fur_H-NS	GO:0008152	2	4	2	0.50	metabolic process
CdaR_FNR_Fur_H-NS	GO:0071704	3	4	1	0.25	organic substance metabolic process
CdaR_FNR_Fur_H-NS	GO:0006082	4	4	1	0.25	organic acid metabolic process
CdaR_FNR_Fur_H-NS	GO:0031388	5	4	1	0.25	organic acid phosphorylation
CdaR_FNR_Fur_H-NS	GO:0044237	3	4	1	0.25	cellular metabolic process
CdaR_FNR_Fur_H-NS	GO:0006793	4	4	1	0.25	phosphorus metabolic process
CdaR_FNR_Fur_H-NS	GO:0006796	5	4	1	0.25	phosphate-containing compound metabolic process
CdaR_FNR_Fur_H-NS	GO:0016310	6	4	1	0.25	phosphorylation
CdaR_FNR_Fur_H-NS	GO:0055114	3	4	1	0.25	oxidation-reduction process
CecR	GO:0050896	2	5	1	0.20	response to stimulus
CecR	GO:0006950	3	5	1	0.20	response to stress
CecR	GO:0033554	4	5	1	0.20	cellular response to stress
CecR	GO:0006974	5	5	1	0.20	cellular response to DNA damage stimulus
CpxR	GO:0008152	2	29	11	0.38	metabolic process
CpxR	GO:0071704	3	29	1	0.03	organic substance metabolic process
CpxR	GO:0006629	4	29	1	0.03	lipid metabolic process
CpxR	GO:0044255	4	29	1	0.03	cellular lipid metabolic process
CpxR	GO:0006644	5	29	1	0.03	phospholipid metabolic process
CpxR	GO:0006650	6	29	1	0.03	glycerophospholipid metabolic process
CpxR	GO:0046474	6	29	1	0.03	glycerophospholipid biosynthetic process
CpxR	GO:0006646	7	29	1	0.03	phosphatidylethanolamine biosynthetic process
CpxR	GO:0008654	5	29	1	0.03	phospholipid biosynthetic process
CpxR	GO:0008610	5	29	1	0.03	lipid biosynthetic process
CpxR	GO:0009058	3	29	1	0.03	biosynthetic process
CpxR	GO:0044249	4	29	1	0.03	cellular biosynthetic process
CpxR	GO:0044237	3	29	6	0.21	cellular metabolic process
CpxR	GO:0006793	4	29	6	0.21	phosphorus metabolic process
CpxR	GO:0006796	5	29	6	0.21	phosphate-containing compound metabolic process
CpxR	GO:0016310	6	29	4	0.14	phosphorylation
CpxR	GO:0006468	7	29	4	0.14	protein phosphorylation
CpxR	GO:0018106	8	29	2	0.07	peptidyl-histidine phosphorylation
CpxR	GO:0046777	8	29	2	0.07	protein autophosphorylation
CpxR	GO:0023014	8	29	3	0.10	signal transduction by protein phosphorylation
CpxR	GO:0016311	6	29	1	0.03	dephosphorylation
CpxR	GO:0055114	3	29	3	0.10	oxidation-reduction process
CpxR	GO:0044238	3	29	3	0.10	primary metabolic process
CpxR	GO:0019538	4	29	3	0.10	protein metabolic process
CpxR	GO:0051604	5	29	1	0.03	protein maturation
CpxR	GO:0016485	6	29	1	0.03	protein processing
CpxR	GO:0016540	7	29	1	0.03	protein autoprocessing
CpxR	GO:0031638	7	29	1	0.03	zymogen activation
CpxR	GO:0006508	5	29	3	0.10	proteolysis
CpxR	GO:0050896	2	29	4	0.14	response to stimulus
CpxR	GO:0006950	3	29	4	0.14	response to stress
CpxR	GO:0033554	4	29	3	0.10	cellular response to stress
CpxR	GO:0006974	5	29	3	0.10	cellular response to DNA damage stimulus
CpxR	GO:0006281	6	29	1	0.03	DNA repair
CpxR	GO:0006284	7	29	1	0.03	base-excision repair
CpxR	GO:0006970	4	29	1	0.03	response to osmotic stress
CpxR	GO:0071470	5	29	1	0.03	cellular response to osmotic stress
CpxR	GO:0022610	2	29	2	0.07	biological adhesion
CpxR	GO:0007155	3	29	2	0.07	cell adhesion
CpxR_CsgD_FliZ	GO:0008152	2	2	2	1.00	metabolic process
CpxR_CsgD_FliZ	GO:0044238	3	2	2	1.00	primary metabolic process
CpxR_CsgD_FliZ	GO:0019538	4	2	2	1.00	protein metabolic process
CpxR_CsgD_FliZ	GO:1990000	5	2	2	1.00	amyloid fibril formation
CpxR_CsgD_FliZ	GO:0022610	2	2	2	1.00	biological adhesion
CpxR_CsgD_FliZ	GO:0007155	3	2	2	1.00	cell adhesion
CpxR_GadE	GO:0008152	2	4	4	1.00	metabolic process
CpxR_GadE	GO:0071704	3	4	3	0.75	organic substance metabolic process
CpxR_GadE	GO:0006629	4	4	3	0.75	lipid metabolic process
CpxR_GadE	GO:0044255	4	4	3	0.75	cellular lipid metabolic process
CpxR_GadE	GO:0006631	5	4	1	0.25	fatty acid metabolic process
CpxR_GadE	GO:0006633	6	4	1	0.25	fatty acid biosynthetic process
CpxR_GadE	GO:0006644	5	4	3	0.75	phospholipid metabolic process
CpxR_GadE	GO:0008654	5	4	3	0.75	phospholipid biosynthetic process
CpxR_GadE	GO:0009245	6	4	3	0.75	lipid A biosynthetic process
CpxR_GadE	GO:0046493	6	4	3	0.75	lipid A metabolic process
CpxR_GadE	GO:0008610	5	4	3	0.75	lipid biosynthetic process
CpxR_GadE	GO:0009058	3	4	3	0.75	biosynthetic process
CpxR_GadE	GO:0044249	4	4	3	0.75	cellular biosynthetic process
CpxR_GadE	GO:0044237	3	4	3	0.75	cellular metabolic process
CpxR_GadE	GO:0006793	4	4	3	0.75	phosphorus metabolic process
CpxR_GadE	GO:0006796	5	4	3	0.75	phosphate-containing compound metabolic process
CpxR_GadE	GO:0044238	3	4	4	1.00	primary metabolic process
CpxR_GadE	GO:0019538	4	4	1	0.25	protein metabolic process
CpxR_GadE	GO:0051604	5	4	1	0.25	protein maturation
CpxR_GadE	GO:0022417	6	4	1	0.25	protein maturation by protein folding
Cra	GO:0008152	2	15	15	1.00	metabolic process
Cra	GO:0071704	3	15	12	0.80	organic substance metabolic process
Cra	GO:1901135	4	15	3	0.20	carbohydrate derivative metabolic process
Cra	GO:0006002	5	15	1	0.07	fructose 6-phosphate metabolic process
Cra	GO:0051156	5	15	1	0.07	glucose 6-phosphate metabolic process
Cra	GO:1901137	5	15	1	0.07	carbohydrate derivative biosynthetic process
Cra	GO:0046166	6	15	1	0.07	glyceraldehyde-3-phosphate biosynthetic process
Cra	GO:0030388	5	15	1	0.07	fructose 1,6-bisphosphate metabolic process
Cra	GO:0015977	4	15	1	0.07	carbon fixation
Cra	GO:0005975	4	15	11	0.73	carbohydrate metabolic process
Cra	GO:0044262	4	15	3	0.20	cellular carbohydrate metabolic process
Cra	GO:0046835	5	15	2	0.13	carbohydrate phosphorylation
Cra	GO:0044275	5	15	1	0.07	cellular carbohydrate catabolic process
Cra	GO:0016052	5	15	7	0.47	carbohydrate catabolic process
Cra	GO:0006096	5	15	7	0.47	glycolytic process
Cra	GO:0005996	5	15	5	0.33	monosaccharide metabolic process
Cra	GO:0019318	6	15	5	0.33	hexose metabolic process
Cra	GO:0006006	7	15	4	0.27	glucose metabolic process
Cra	GO:0006094	8	15	2	0.13	gluconeogenesis
Cra	GO:0006007	8	15	2	0.13	glucose catabolic process
Cra	GO:0006000	7	15	1	0.07	fructose metabolic process
Cra	GO:0006001	8	15	1	0.07	fructose catabolic process
Cra	GO:0044237	3	15	11	0.73	cellular metabolic process
Cra	GO:0044248	4	15	1	0.07	cellular catabolic process
Cra	GO:0006793	4	15	11	0.73	phosphorus metabolic process
Cra	GO:0006796	5	15	11	0.73	phosphate-containing compound metabolic process
Cra	GO:0016310	6	15	7	0.47	phosphorylation
Cra	GO:0006753	6	15	7	0.47	nucleoside phosphate metabolic process
Cra	GO:0009132	7	15	7	0.47	nucleoside diphosphate metabolic process
Cra	GO:0006165	8	15	7	0.47	nucleoside diphosphate phosphorylation
Cra	GO:0006757	4	15	7	0.47	ATP generation from ADP
Cra	GO:0009117	7	15	7	0.47	nucleotide metabolic process
Cra	GO:0006725	4	15	7	0.47	cellular aromatic compound metabolic process
Cra	GO:0006139	4	15	7	0.47	nucleobase-containing compound metabolic process
Cra	GO:0055086	5	15	7	0.47	nucleobase-containing small molecule metabolic process
Cra	GO:0006091	4	15	7	0.47	generation of precursor metabolites and energy
Cra	GO:0009056	3	15	1	0.07	catabolic process
Cra	GO:0044238	3	15	13	0.87	primary metabolic process
Cra	GO:0006099	4	15	1	0.07	tricarboxylic acid cycle
Cra	GO:0019538	4	15	1	0.07	protein metabolic process
Cra	GO:0006508	5	15	1	0.07	proteolysis
Cra	GO:0046034	3	15	7	0.47	ATP metabolic process
Cra	GO:0050896	2	15	3	0.20	response to stimulus
Cra	GO:0006950	3	15	3	0.20	response to stress
Cra	GO:0033554	4	15	1	0.07	cellular response to stress
Cra	GO:0006974	5	15	1	0.07	cellular response to DNA damage stimulus
Cra	GO:0009408	4	15	1	0.07	response to heat
Cra	GO:0006979	4	15	1	0.07	response to oxidative stress
CsgD	GO:0008152	2	5	2	0.40	metabolic process
CsgD	GO:0044237	3	5	1	0.20	cellular metabolic process
CsgD	GO:0044248	4	5	1	0.20	cellular catabolic process
CsgD	GO:0043171	5	5	1	0.20	peptide catabolic process
CsgD	GO:0055114	3	5	1	0.20	oxidation-reduction process
CsgD	GO:0009056	3	5	1	0.20	catabolic process
CsgD	GO:0044238	3	5	1	0.20	primary metabolic process
CsgD	GO:0019538	4	5	1	0.20	protein metabolic process
CsgD	GO:0006508	5	5	1	0.20	proteolysis
CsgD	GO:0050896	2	5	2	0.40	response to stimulus
CsgD	GO:0006950	3	5	2	0.40	response to stress
CsgD	GO:0033554	4	5	1	0.20	cellular response to stress
CsgD	GO:0009267	5	5	1	0.20	cellular response to starvation
CsgD	GO:0016036	6	5	1	0.20	cellular response to phosphate starvation
CsgD	GO:0042594	4	5	1	0.20	response to starvation
CsgD	GO:0006979	4	5	1	0.20	response to oxidative stress
CsgD_FlhDC	GO:0008152	2	9	1	0.11	metabolic process
CsgD_FlhDC	GO:0009058	3	9	1	0.11	biosynthetic process
CsgD_FlhDC	GO:0044237	3	9	1	0.11	cellular metabolic process
CsgD_FlhDC	GO:0006793	4	9	1	0.11	phosphorus metabolic process
CsgD_FlhDC	GO:0006796	5	9	1	0.11	phosphate-containing compound metabolic process
CsgD_FlhDC	GO:0006753	6	9	1	0.11	nucleoside phosphate metabolic process
CsgD_FlhDC	GO:0009117	7	9	1	0.11	nucleotide metabolic process
CsgD_FlhDC	GO:0006163	8	9	1	0.11	purine nucleotide metabolic process
CsgD_FlhDC	GO:0006164	9	9	1	0.11	purine nucleotide biosynthetic process
CsgD_FlhDC	GO:0009152	10	9	1	0.11	purine ribonucleotide biosynthetic process
CsgD_FlhDC	GO:0006754	4	9	1	0.11	ATP biosynthetic process
CsgD_FlhDC	GO:0009165	8	9	1	0.11	nucleotide biosynthetic process
CsgD_FlhDC	GO:0006725	4	9	1	0.11	cellular aromatic compound metabolic process
CsgD_FlhDC	GO:0006139	4	9	1	0.11	nucleobase-containing compound metabolic process
CsgD_FlhDC	GO:0055086	5	9	1	0.11	nucleobase-containing small molecule metabolic process
CsgD_FlhDC	GO:0044238	3	9	1	0.11	primary metabolic process
CsgD_FlhDC	GO:0046034	3	9	1	0.11	ATP metabolic process
CsqR	GO:0008152	2	4	4	1.00	metabolic process
CsqR	GO:0071704	3	4	1	0.25	organic substance metabolic process
CsqR	GO:0005975	4	4	1	0.25	carbohydrate metabolic process
CsqR	GO:0044262	4	4	1	0.25	cellular carbohydrate metabolic process
CsqR	GO:0046835	5	4	1	0.25	carbohydrate phosphorylation
CsqR	GO:0044237	3	4	4	1.00	cellular metabolic process
CsqR	GO:0044248	4	4	4	1.00	cellular catabolic process
CsqR	GO:0044273	5	4	4	1.00	sulfur compound catabolic process
CsqR	GO:1902777	6	4	4	1.00	6-sulfoquinovose(1-) catabolic process
CsqR	GO:0061720	6	4	4	1.00	6-sulfoquinovose(1-) catabolic process to glycerone phosphate and 3-sulfolactaldehyde
CsqR	GO:0009407	5	4	1	0.25	toxin catabolic process
CsqR	GO:0006790	4	4	4	1.00	sulfur compound metabolic process
CsqR	GO:0006793	4	4	4	1.00	phosphorus metabolic process
CsqR	GO:0006796	5	4	4	1.00	phosphate-containing compound metabolic process
CsqR	GO:0016310	6	4	1	0.25	phosphorylation
CsqR	GO:0055114	3	4	1	0.25	oxidation-reduction process
CsqR	GO:0009056	3	4	4	1.00	catabolic process
CsqR	GO:0044238	3	4	1	0.25	primary metabolic process
CueR	GO:0008152	2	2	1	0.50	metabolic process
CueR	GO:0055114	3	2	1	0.50	oxidation-reduction process
CueR_FNR_ModE	GO:0008152	2	5	5	1.00	metabolic process
CueR_FNR_ModE	GO:0009058	3	5	5	1.00	biosynthetic process
CueR_FNR_ModE	GO:0044249	4	5	5	1.00	cellular biosynthetic process
CueR_FNR_ModE	GO:0051188	5	5	5	1.00	cofactor biosynthetic process
CueR_FNR_ModE	GO:0009108	6	5	5	1.00	coenzyme biosynthetic process
CueR_FNR_ModE	GO:0006777	7	5	5	1.00	Mo-molybdopterin cofactor biosynthetic process
CueR_FNR_ModE	GO:0044237	3	5	5	1.00	cellular metabolic process
CueR_FNR_ModE	GO:0050896	2	5	1	0.20	response to stimulus
CueR_FNR_ModE	GO:0006950	3	5	1	0.20	response to stress
CueR_FNR_ModE	GO:0009408	4	5	1	0.20	response to heat
CusR_HprR_PhoB	GO:0008152	2	7	1	0.14	metabolic process
CusR_HprR_PhoB	GO:0044237	3	7	1	0.14	cellular metabolic process
CusR_HprR_PhoB	GO:0006793	4	7	1	0.14	phosphorus metabolic process
CusR_HprR_PhoB	GO:0006796	5	7	1	0.14	phosphate-containing compound metabolic process
CusR_HprR_PhoB	GO:0016310	6	7	1	0.14	phosphorylation
CusR_HprR_PhoB	GO:0006468	7	7	1	0.14	protein phosphorylation
CusR_HprR_PhoB	GO:0018106	8	7	1	0.14	peptidyl-histidine phosphorylation
CusR_HprR_PhoB	GO:0023014	8	7	1	0.14	signal transduction by protein phosphorylation
CynR	GO:0008152	2	4	3	0.75	metabolic process
CynR	GO:0071704	3	4	3	0.75	organic substance metabolic process
CynR	GO:0006082	4	4	3	0.75	organic acid metabolic process
CynR	GO:0009439	5	4	3	0.75	cyanate metabolic process
CynR	GO:0009440	6	4	3	0.75	cyanate catabolic process
CynR	GO:0044237	3	4	3	0.75	cellular metabolic process
CynR	GO:0015976	2	4	1	0.25	carbon utilization
CysB	GO:0008152	2	7	4	0.57	metabolic process
CysB	GO:0009058	3	7	3	0.43	biosynthetic process
CysB	GO:0044249	4	7	3	0.43	cellular biosynthetic process
CysB	GO:0009403	5	7	3	0.43	toxin biosynthetic process
CysB	GO:0070814	6	7	3	0.43	hydrogen sulfide biosynthetic process
CysB	GO:0044550	4	7	3	0.43	secondary metabolite biosynthetic process
CysB	GO:0044237	3	7	4	0.57	cellular metabolic process
CysB	GO:0006790	4	7	4	0.57	sulfur compound metabolic process
CysB	GO:0019419	4	7	1	0.14	sulfate reduction
CysB	GO:0000096	5	7	1	0.14	sulfur amino acid metabolic process
CysB	GO:0006534	6	7	1	0.14	cysteine metabolic process
CysB	GO:0019344	7	7	1	0.14	cysteine biosynthetic process
CysB	GO:0006535	8	7	1	0.14	cysteine biosynthetic process from serine
CysB	GO:0000103	5	7	3	0.43	sulfate assimilation
CysB	GO:0006793	4	7	1	0.14	phosphorus metabolic process
CysB	GO:0006796	5	7	1	0.14	phosphate-containing compound metabolic process
CysB	GO:0016310	6	7	1	0.14	phosphorylation
CysB	GO:0055114	3	7	1	0.14	oxidation-reduction process
CysB	GO:0044238	3	7	1	0.14	primary metabolic process
CysB	GO:0006520	4	7	1	0.14	cellular amino acid metabolic process
CysB	GO:0008652	5	7	1	0.14	cellular amino acid biosynthetic process
CysB	GO:0050896	2	7	2	0.29	response to stimulus
CysB	GO:0006950	3	7	2	0.29	response to stress
CysB	GO:0009408	4	7	1	0.14	response to heat
CysB	GO:0006979	4	7	1	0.14	response to oxidative stress
CysB	GO:0006791	2	7	1	0.14	sulfur utilization
CysB_H-NS	GO:0008152	2	5	2	0.40	metabolic process
CysB_H-NS	GO:0044237	3	5	2	0.40	cellular metabolic process
CysB_H-NS	GO:0006790	4	5	2	0.40	sulfur compound metabolic process
CysB_H-NS	GO:0000096	5	5	1	0.20	sulfur amino acid metabolic process
CysB_H-NS	GO:0006534	6	5	1	0.20	cysteine metabolic process
CysB_H-NS	GO:0019344	7	5	1	0.20	cysteine biosynthetic process
CysB_H-NS	GO:0006535	8	5	1	0.20	cysteine biosynthetic process from serine
CysB_H-NS	GO:0044238	3	5	1	0.20	primary metabolic process
CysB_H-NS	GO:0006520	4	5	1	0.20	cellular amino acid metabolic process
CysB_H-NS	GO:0008652	5	5	1	0.20	cellular amino acid biosynthetic process
CysB_IHF	GO:0008152	2	2	2	1.00	metabolic process
CysB_IHF	GO:0009058	3	2	2	1.00	biosynthetic process
CysB_IHF	GO:0044249	4	2	2	1.00	cellular biosynthetic process
CysB_IHF	GO:0009403	5	2	2	1.00	toxin biosynthetic process
CysB_IHF	GO:0070814	6	2	2	1.00	hydrogen sulfide biosynthetic process
CysB_IHF	GO:0044550	4	2	2	1.00	secondary metabolite biosynthetic process
CysB_IHF	GO:0044237	3	2	2	1.00	cellular metabolic process
CysB_IHF	GO:0006790	4	2	2	1.00	sulfur compound metabolic process
CysB_IHF	GO:0000096	5	2	2	1.00	sulfur amino acid metabolic process
CysB_IHF	GO:0006534	6	2	2	1.00	cysteine metabolic process
CysB_IHF	GO:0019344	7	2	2	1.00	cysteine biosynthetic process
CysB_IHF	GO:0000103	5	2	2	1.00	sulfate assimilation
CysB_IHF	GO:0055114	3	2	2	1.00	oxidation-reduction process
CysB_IHF	GO:0044238	3	2	2	1.00	primary metabolic process
CysB_IHF	GO:0006520	4	2	2	1.00	cellular amino acid metabolic process
CysB_IHF	GO:0008652	5	2	2	1.00	cellular amino acid biosynthetic process
Dan	GO:0008152	2	4	1	0.25	metabolic process
Dan	GO:1901275	3	4	1	0.25	tartrate metabolic process
Dan	GO:0050896	2	4	1	0.25	response to stimulus
Dan	GO:0006950	3	4	1	0.25	response to stress
Dan	GO:0009408	4	4	1	0.25	response to heat
DcuR_FNR_NarL	GO:0008152	2	4	2	0.50	metabolic process
DcuR_FNR_NarL	GO:0044237	3	4	2	0.50	cellular metabolic process
DcuR_FNR_NarL	GO:0006091	4	4	2	0.50	generation of precursor metabolites and energy
DcuR_FNR_NarL	GO:0022900	4	4	2	0.50	electron transport chain
DcuR_FNR_NarL	GO:0055114	3	4	2	0.50	oxidation-reduction process
DcuR_FNR_NarL	GO:0044238	3	4	1	0.25	primary metabolic process
DcuR_FNR_NarL	GO:0006099	4	4	1	0.25	tricarboxylic acid cycle
DcuR_FNR_NarL	GO:0050896	2	4	1	0.25	response to stimulus
DcuR_FNR_NarL	GO:0006950	3	4	1	0.25	response to stress
DcuR_FNR_NarL	GO:0033554	4	4	1	0.25	cellular response to stress
DcuR_FNR_NarL	GO:0006974	5	4	1	0.25	cellular response to DNA damage stimulus
DhaR	GO:0008152	2	4	3	0.75	metabolic process
DhaR	GO:0071704	3	4	1	0.25	organic substance metabolic process
DhaR	GO:0005975	4	4	1	0.25	carbohydrate metabolic process
DhaR	GO:0016052	5	4	1	0.25	carbohydrate catabolic process
DhaR	GO:0046365	6	4	1	0.25	monosaccharide catabolic process
DhaR	GO:0005996	5	4	1	0.25	monosaccharide metabolic process
DhaR	GO:0044237	3	4	3	0.75	cellular metabolic process
DhaR	GO:0044248	4	4	1	0.25	cellular catabolic process
DhaR	GO:0042182	5	4	1	0.25	ketone catabolic process
DhaR	GO:0006793	4	4	3	0.75	phosphorus metabolic process
DhaR	GO:0006796	5	4	3	0.75	phosphate-containing compound metabolic process
DhaR	GO:0016310	6	4	3	0.75	phosphorylation
DhaR	GO:0009056	3	4	1	0.25	catabolic process
DhaR	GO:0044238	3	4	1	0.25	primary metabolic process
DhaR	GO:0050896	2	4	2	0.50	response to stimulus
DhaR	GO:0006950	3	4	2	0.50	response to stress
DhaR	GO:0033554	4	4	2	0.50	cellular response to stress
DhaR	GO:0006974	5	4	2	0.50	cellular response to DNA damage stimulus
DnaA_LexA	GO:0050896	2	2	2	1.00	response to stimulus
DnaA_LexA	GO:0006950	3	2	2	1.00	response to stress
DnaA_LexA	GO:0033554	4	2	2	1.00	cellular response to stress
DnaA_LexA	GO:0006974	5	2	2	1.00	cellular response to DNA damage stimulus
DnaA_LexA	GO:0009432	6	2	2	1.00	SOS response
DnaA_LexA	GO:0006281	6	2	2	1.00	DNA repair
DnaA_LexA	GO:0006289	7	2	1	0.50	nucleotide-excision repair
DnaA_LexA	GO:0000725	7	2	1	0.50	recombinational repair
DnaA_LexA	GO:0000724	8	2	1	0.50	double-strand break repair via homologous recombination
DnaA_LexA	GO:0036298	8	2	1	0.50	recombinational interstrand cross-link repair
DnaA_LexA	GO:0006302	7	2	1	0.50	double-strand break repair
EvgA	GO:0008152	2	3	1	0.33	metabolic process
EvgA	GO:0071704	3	3	1	0.33	organic substance metabolic process
EvgA	GO:0006629	4	3	1	0.33	lipid metabolic process
EvgA	GO:0044255	4	3	1	0.33	cellular lipid metabolic process
EvgA	GO:0006631	5	3	1	0.33	fatty acid metabolic process
EvgA	GO:0009062	6	3	1	0.33	fatty acid catabolic process
EvgA	GO:0001561	7	3	1	0.33	fatty acid alpha-oxidation
EvgA	GO:0019395	6	3	1	0.33	fatty acid oxidation
EvgA	GO:0044237	3	3	1	0.33	cellular metabolic process
EvgA	GO:0044238	3	3	1	0.33	primary metabolic process
EvgA_FNR	GO:0050896	2	2	2	1.00	response to stimulus
EvgA_FNR	GO:0006950	3	2	2	1.00	response to stress
EvgA_FNR	GO:0033554	4	2	2	1.00	cellular response to stress
EvgA_FNR	GO:0006974	5	2	2	1.00	cellular response to DNA damage stimulus
EvgA_H-NS	GO:0008152	2	2	1	0.50	metabolic process
EvgA_H-NS	GO:0044237	3	2	1	0.50	cellular metabolic process
EvgA_H-NS	GO:0006793	4	2	1	0.50	phosphorus metabolic process
EvgA_H-NS	GO:0006796	5	2	1	0.50	phosphate-containing compound metabolic process
EvgA_H-NS	GO:0016310	6	2	1	0.50	phosphorylation
EvgA_H-NS	GO:0006468	7	2	1	0.50	protein phosphorylation
EvgA_H-NS	GO:0018106	8	2	1	0.50	peptidyl-histidine phosphorylation
EvgA_H-NS	GO:0046777	8	2	1	0.50	protein autophosphorylation
EvgA_H-NS	GO:0023014	8	2	1	0.50	signal transduction by protein phosphorylation
FNR	GO:0008152	2	26	12	0.46	metabolic process
FNR	GO:0071704	3	26	2	0.08	organic substance metabolic process
FNR	GO:1901135	4	26	1	0.04	carbohydrate derivative metabolic process
FNR	GO:0009225	5	26	1	0.04	nucleotide-sugar metabolic process
FNR	GO:0006011	5	26	1	0.04	UDP-glucose metabolic process
FNR	GO:0005975	4	26	1	0.04	carbohydrate metabolic process
FNR	GO:0016052	5	26	1	0.04	carbohydrate catabolic process
FNR	GO:0000272	6	26	1	0.04	polysaccharide catabolic process
FNR	GO:0005976	5	26	1	0.04	polysaccharide metabolic process
FNR	GO:0032259	3	26	2	0.08	methylation
FNR	GO:0044237	3	26	7	0.27	cellular metabolic process
FNR	GO:0044248	4	26	1	0.04	cellular catabolic process
FNR	GO:0043171	5	26	1	0.04	peptide catabolic process
FNR	GO:0006793	4	26	5	0.19	phosphorus metabolic process
FNR	GO:0006796	5	26	4	0.15	phosphate-containing compound metabolic process
FNR	GO:0016310	6	26	2	0.08	phosphorylation
FNR	GO:0006468	7	26	2	0.08	protein phosphorylation
FNR	GO:0023014	8	26	2	0.08	signal transduction by protein phosphorylation
FNR	GO:0006753	6	26	1	0.04	nucleoside phosphate metabolic process
FNR	GO:0009117	7	26	1	0.04	nucleotide metabolic process
FNR	GO:0006220	8	26	1	0.04	pyrimidine nucleotide metabolic process
FNR	GO:0006221	9	26	1	0.04	pyrimidine nucleotide biosynthetic process
FNR	GO:0009220	10	26	1	0.04	pyrimidine ribonucleotide biosynthetic process
FNR	GO:0006222	11	26	1	0.04	UMP biosynthetic process
FNR	GO:0044206	12	26	1	0.04	UMP salvage
FNR	GO:0009165	8	26	1	0.04	nucleotide biosynthetic process
FNR	GO:0016311	6	26	1	0.04	dephosphorylation
FNR	GO:0006470	7	26	1	0.04	protein dephosphorylation
FNR	GO:0043094	4	26	1	0.04	cellular metabolic compound salvage
FNR	GO:0008655	5	26	1	0.04	pyrimidine-containing compound salvage
FNR	GO:0043100	6	26	1	0.04	pyrimidine nucleobase salvage
FNR	GO:0006223	7	26	1	0.04	uracil salvage
FNR	GO:0006725	4	26	2	0.08	cellular aromatic compound metabolic process
FNR	GO:0006139	4	26	2	0.08	nucleobase-containing compound metabolic process
FNR	GO:0055086	5	26	2	0.08	nucleobase-containing small molecule metabolic process
FNR	GO:0009116	6	26	1	0.04	nucleoside metabolic process
FNR	GO:0006091	4	26	1	0.04	generation of precursor metabolites and energy
FNR	GO:0022900	4	26	1	0.04	electron transport chain
FNR	GO:0055114	3	26	3	0.12	oxidation-reduction process
FNR	GO:0009056	3	26	1	0.04	catabolic process
FNR	GO:0044238	3	26	4	0.15	primary metabolic process
FNR	GO:0019538	4	26	1	0.04	protein metabolic process
FNR	GO:0006508	5	26	1	0.04	proteolysis
FNR	GO:0050896	2	26	2	0.08	response to stimulus
FNR	GO:0006950	3	26	2	0.08	response to stress
FNR	GO:0033554	4	26	2	0.08	cellular response to stress
FNR	GO:0071454	5	26	1	0.04	cellular response to anoxia
FNR	GO:0006974	5	26	1	0.04	cellular response to DNA damage stimulus
FNR	GO:0006979	4	26	2	0.08	response to oxidative stress
FNR	GO:0034599	5	26	2	0.08	cellular response to oxidative stress
FNR	GO:0034614	6	26	1	0.04	cellular response to reactive oxygen species
FNR	GO:0070301	7	26	1	0.04	cellular response to hydrogen peroxide
FNR	GO:0000302	5	26	1	0.04	response to reactive oxygen species
FNR	GO:0042542	6	26	1	0.04	response to hydrogen peroxide
FNR_FhlA_IHF_NsrR	GO:0008152	2	5	4	0.80	metabolic process
FNR_FhlA_IHF_NsrR	GO:0009058	3	5	1	0.20	biosynthetic process
FNR_FhlA_IHF_NsrR	GO:0044249	4	5	1	0.20	cellular biosynthetic process
FNR_FhlA_IHF_NsrR	GO:0051188	5	5	1	0.20	cofactor biosynthetic process
FNR_FhlA_IHF_NsrR	GO:0044237	3	5	1	0.20	cellular metabolic process
FNR_FhlA_IHF_NsrR	GO:0044238	3	5	4	0.80	primary metabolic process
FNR_FhlA_IHF_NsrR	GO:0019538	4	5	4	0.80	protein metabolic process
FNR_FhlA_IHF_NsrR	GO:0051604	5	5	4	0.80	protein maturation
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	GO:0008152	2	7	4	0.57	metabolic process
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	GO:0044237	3	7	4	0.57	cellular metabolic process
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	GO:0006091	4	7	4	0.57	generation of precursor metabolites and energy
